                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.4062,                 1.7988,                  2.356,                0.68033,                   0.75,                0.86161,                0.64069,                 3.0193,                 3.1468,                 2.5515,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.2716,                 2.1785,                  2.568,                0.68332,                   0.75,                0.85827,                0.64003,                 3.0276,                 3.2281,                 2.5528,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.7202,                 1.4708,                 2.2648,                0.68332,                   0.75,                0.85827,                0.64003,                 3.0276,                 3.2281,                 2.5528,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.3832,                 3.6044,                 2.3376,                0.69874,                   0.75,                0.85899,                0.63567,                 3.0271,                 3.2878,                 2.4995,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.4396,                 1.6837,                 2.0918,                0.69874,                   0.75,                0.85899,                0.63567,                 3.0271,                 3.2878,                 2.4995,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.4377,                 1.4892,                 2.2531,                0.95942,                0.52991,                0.85858,                0.62987,                 3.0134,                 3.3262,                 2.4896,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.95062,                 1.3321,                 1.9935,                0.95942,                0.52991,                0.85858,                0.62987,                 3.0134,                 3.3262,                 2.4896,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.0987,                 1.5131,                  1.971,                0.95352,                0.53052,                 0.8573,                0.62993,                 3.0072,                 3.3717,                 2.4862,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.5307,                 1.3146,                  2.196,                0.95352,                0.53052,                 0.8573,                0.62993,                 3.0072,                 3.3717,                 2.4862,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.2756,                0.90206,                 2.0273,                0.93887,                0.53196,                0.84911,                0.62139,                 2.9972,                 3.4428,                 2.4796,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.3826,                  1.834,                 2.1952,                0.93887,                0.53196,                0.84911,                0.62139,                 2.9972,                 3.4428,                 2.4796,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.5229,                 1.8154,                 2.2731,                0.93339,                0.53267,                0.84913,                0.62054,                 3.0309,                 3.5653,                 2.4901,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  1.745,                 1.4173,                 2.6924,                0.93339,                0.53267,                0.84913,                0.62054,                 3.0309,                 3.5653,                 2.4901,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.0219,                0.98881,                 1.8577,                0.92998,                0.53302,                 0.8447,                0.62124,                 2.9031,                 3.6273,                 2.4304,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.2133,                 1.1186,                 2.0865,                0.92998,                0.53302,                 0.8447,                0.62124,                 2.9031,                 3.6273,                 2.4304,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.7993,                 2.2383,                 2.6217,                0.92272,                0.54259,                0.84275,                0.61868,                 3.0826,                 3.5697,                 2.5596,             2.9811e-05,             2.9811e-05,             2.9811e-05
